Player Name,Position,Team
Hunter Long,TE,JAX
Ladarius Green,TE,
Kalif Jackson,TE,MIA
Michael Roberts,TE,
John Stephens,TE,DAL
Kyle Markway,TE,
Joseph Fauria,TE,
Antony Auclair,TE,
J.P. Holtz,TE,
Beau Sandland,TE,
Matthew Mulligan,TE,
Dorin Dickerson,TE,
Mik'Quan Deane,TE,
Ben Sinnott,TE,WAS
Jack Doyle,TE,IND
Michael Miller,TE,
DJ Williams,TE,
Nick O'Leary,TE,
Bruno Labelle,TE,
Gabe Holmes,TE,
Jeff Heuerman,TE,
Tre Watson,TE,KC
Ryan O'Malley,TE,
Troy Niklas,TE,
C.J. Fiedorowicz,TE,
Antonio Gandy-Golden,TE,
Keleki Latu,TE,BUF
Jjay Mcafee,TE,
Brycen Hopkins,TE,
Jack Stoll,TE,NO
Tommy Hudson,TE,
Brayden Willis,TE,SF
Clive Walford,TE,
Tony Scheffler,TE,
Darnell Washington,TE,PIT
Mike McFarland,TE,
Jeff Luc,TE,
Tyrone Swoopes,TE,
Thomas Greaney,TE,
Cole Herdman,TE,
Justin Rigg,TE,
Jordan Reed,TE,
Taylor Sloat,TE,
James Mitchell,TE,CAR
Zach Horton,TE,DET
Parker Hesse,TE,
Sean McGrath,TE,
Clay Harbor,TE,
Rysen John,TE,
Eric Wallace,TE,
Trey McBride,TE,ARI
Quintin Morris,TE,JAX
Ryan Jones,TE,
David Morgan,TE,
Jeff King,TE,
Sean McKeon,TE,IND
Hunter Henry,TE,NE
Chase Dixon,TE,
Richie Brockel,TE,
Deon Yelder,TE,
Kevin Foelsch,TE,
Jaheim Bell,TE,
Martellus Bennett,TE,
David Grinnage,TE,
Evan Engram,TE,DEN
Braxton Deaver,TE,
Chris Manhertz,TE,NYG
Julius Thomas,TE,
Connor Hamlett,TE,
Charlie Taumoepeau,TE,
Teagan Quitoriano,TE,ATL
Cameron Clear,TE,
Braedon Bowman,TE,
Garrett Dickerson,TE,
Dante Rosario,TE,
Andrew Gleichert,TE,
Sean Culkin,TE,
Henry Krieger-Coble,TE,
Jacob Warren,TE,
Mitchell Evans,TE,CAR
Pharoah McKever,TE,
Taylor McNamara,TE,
Phazahn Odom,TE,
Ronnie Shields,TE,
Dallas Goedert,TE,PHI
Jimmy Graham,TE,
Gannon Sinclair,TE,
Garrett Graham,TE,
Reggie Brown,TE,
Casey Pierce,TE,
Justin Sinz,TE,
Duplicate Player,TE,
Ben Sims,TE,GB
Alec Holler,TE,
Brandon Pettigrew,TE,
Robert Tonyan,TE,KC
Duplicate Player,TE,
Eric Saubert,TE,SEA
David Ausberry,TE,
Bradley Sowell,TE,
Mason Fairchild,TE,
Randall Telfer,TE,
Tyler Conklin,TE,LAC
Eli Wilson,TE,
Leonard Taylor,TE,
Treyton Pickering,TE,
Patrick Herbert,TE,JAX
Richard Gordon,TE,
Larry Donnell,TE,
Devin Asiasi,TE,
Cethan Carter,TE,
Hayden Hurst,TE,
John Copenhaver,TE,
Steven Wroblewski,TE,
Mike Gesicki,TE,CIN
McCallan Castles,TE,
Scooter Harrington,TE,
Thomas Yassmin,TE,LAC
Eric Tomlinson,TE,
Michael Cooper,TE,
Cary Angeline,TE,
Justin Johnson,TE,
Darren Fells,TE,TB
Elkanah Dillon,TE,
Nick Kallerup,TE,SEA
Cheyenne O'Grady,TE,
Tyler Eifert,TE,
Adam Trautman,TE,DEN
Brian Leonhardt,TE,
Cade Brewer,TE,
Garrett Griffin,TE,
Jevoni Robinson,TE,
Josh Bist,TE,
Kellen Winslow,TE,
Tevin Westbrook,TE,
Julian Hill,TE,MIA
Thomas Fidone,TE,NYG
Billy Brown,TE,
Gerell Robinson,TE,
Dwayne Allen,TE,
Lachlan Pitts,TE,
Payne Durham,TE,TB
Davis Allen,TE,LAR
Nick Bowers,TE,
Brian Bridgewater,TE,
O.J. Howard,TE,
Caleb Wilson,TE,
Michael Hoomanawanui,TE,
Mark Redman,TE,LAR
Blake Whiteheart,TE,CLE
Lance Kendricks,TE,
Roger Carter,TE,
Johnny Lumpkin,TE,
Andrew Price,TE,
Hunter Bryant,TE,
Oscar Cardenas,TE,
Brevin Jordan,TE,HOU
Foster Moreau,TE,NO
Jerell Adams,TE,
Trey Knox,TE,
Connor Davis,TE,
Jason Witten,TE,
Ross Travis,TE,
Feleipe Franks,TE,ATL
Evan Baylis,TE,
Gerrit Prince,TE,
Marcus Baugh,TE,
Adrien Robinson,TE,
Kole Taylor,TE,
Tyree Mayfield,TE,
Rico Gathers,TE,
George Kittle,TE,SF
Moliki Matavao,TE,NO
Austin Allen,TE,
Jake Hausmann,TE,
Cameron Latu,TE,PHI
Marshall Lang,TE,
Nick Vannett,TE,MIN
Kahale Warring,TE,
Ryan Smith,TE,
Emanuel Byrd,TE,
Taysom Hill,TE,NO
Jordan Thomas,TE,
Dennis Pitta,TE,
Trey Burton,TE,
Jamal Pettigrew,TE,
Jared Wiley,TE,KC
Blake Mack,TE,
Jeremy Sprinkle,TE,
Ricky Seals-Jones,TE,
DJ Thomas-Jones,TE,
Demetrius Harris,TE,
Albert Okwuegbunam,TE,LV
Ben Beise,TE,
Chris Herndon,TE,
Kyle Carter,TE,
Stevo Klotz,TE,
Scott Orndoff,TE,
Brock Wright,TE,DET
Chris Pierce,TE,
Brevyn Spann-Ford,TE,DAL
JJ Howland,TE,
Dylan Leonard,TE,
Jake Butt,TE,
Marcus Santos-Silva,TE,
Franko House,TE,CHI
Jordan Thompson,TE,
Connor Heyward,TE,PIT
Brian Walker,TE,
Thaddeus Moss,TE,
Dalton Kincaid,TE,BUF
Cam Grandy,TE,CIN
Charles Scarff,TE,
Landon Rice,TE,
Daniel Helm,TE,
Steven Scheu,TE,
Jimmy Bell,TE,
Brayden Lenius,TE,
Austin Roberts,TE,
Josiah Price,TE,
Joe Sommers,TE,
Kyle Miller,TE,
Caleb Repp,TE,
Luke Musgrave,TE,GB
Camren McDonald,TE,
Greg Olsen,TE,
MarQueis Gray,TE,
Bug Howard,TE,
Player Invalid,TE,
John Mitchell,TE,
Arthur Lynch,TE,
Tim Tebow,TE,
Jaeden Graham,TE,
Jordan Akins,TE,
Anthony McCoy,TE,
Garrett Walston,TE,
Anthony Denham,TE,
Dion Sims,TE,
Kenny Yeboah,TE,DET
Cole Kmet,TE,CHI
Zach Miller,TE,
Ben Koyack,TE,
Jamie Childers,TE,
Sammis Reyes,TE,
Andrew Vollert,TE,
Nate Wieting,TE,
Sal Cannella,TE,CLE
Nick Eubanks,TE,
Naz Bohannon,TE,
Marcedes Lewis,TE,
Ben Yurosek,TE,MIN
Seth Green,TE,
Hunter Thedford,TE,
Allen Reisner,TE,
Shawn Bowman,TE,
Curtis Hodges,TE,
Will Tye,TE,
Drew Sample,TE,CIN
Alex Ellis,TE,
Jack Tabb,TE,
Stone Smartt,TE,NYJ
Darrell Daniels,TE,
Nate Iese,TE,
CJ Dippre,TE,NE
Messiah Swinson,TE,SF
Levine Toilolo,TE,NYG
Tanner Conner,TE,MIA
Daniel Brown,TE,
David Reeves,TE,
Shaun Beyer,TE,
Alex Smith,TE,
Joel Dreessen,TE,
Virgil Green,TE,
Anthony Manzo-Lewis,TE,
Austin Stogner,TE,
E.J. Bibbs,TE,
Kennard Backman,TE,
Colin Jeter,TE,
Scott Chandler,TE,
Max Mang,TE,IND
Eric Ebron,TE,PIT
Kris Leach,TE,
Dan Light,TE,
Ross Dwelley,TE,DET
Luke Willson,TE,
Justin Tukes,TE,
Caden Prieskorn,TE,
James Hanna,TE,
Paul Lang,TE,
Nate Becker,TE,
Jelani Woods,TE,NYJ
Rashaun Allen,TE,
Isaiah Searight,TE,
Caleb Bluiett,TE,
Charlie Woerner,TE,ATL
Gunnar Helm,TE,TEN
Jackson Harris,TE,
Nick Keizer,TE,
Ben McCord,TE,
Scott Simonson,TE,
Alize Mack,TE,
Thomas Odukoya,TE,TEN
Tre' McKitty,TE,
Tim Semisch,TE,
Kano Dillon,TE,
Josh Hill,TE,
Chris Briggs,TE,
Delanie Walker,TE,
Mason Taylor,TE,NYJ
Adam Shaheen,TE,
M.J. McFarland,TE,
Tyler Neville,TE,
Hakeem Butler,TE,
Ian Thomas,TE,LV
Carson Meier,TE,
Xavier Grimble,TE,
Ben Hartsock,TE,
Cam Sutton,TE,
AJ Barner,TE,SEA
Gerald Christian,TE,
Michael Jacobson,TE,
Mason Schreck,TE,
Justice Cunningham,TE,
Luke Deal,TE,
Benson Browne,TE,
Asante Cleveland,TE,
Mark Vital,TE,
Temarrick Hemingway,TE,WAS
Stevie Donatell,TE,
Tyler Hoppes,TE,
Malcolm Epps,TE,
Bernhard Seikovits,TE,
Pat Freiermuth,TE,PIT
Owen Daniels,TE,
Fred Davis,TE,
Andrew Quarless,TE,
Josh Whyle,TE,GB
Travis Vokolek,TE,ARI
Player Invalid,TE,
Cam Serigne,TE,
Coby Fleener,TE,
Seth DeValve,TE,
Nick Truesdell,TE,
Michael Colubiale,TE,
Kevin Rader,TE,
Josh Babicz,TE,
Zach Heins,TE,
Vince Mayle,TE,
Jake Briningstool,TE,KC
Ben Ellefson,TE,
Noah Fant,TE,CIN
Luke Lachey,TE,HOU
Elijah Arroyo,TE,SEA
Ryan Izzo,TE,
Mark Andrews,TE,BAL
Donald Parham,TE,PIT
Ian Bunting,TE,
Colson Yankoff,TE,WAS
Austin Hooper,TE,NE
Moritz Bohringer,TE,
Matt Bushman,TE,
Ja'Tavion Sanders,TE,CAR
Brian Vogler,TE,
Isaac Rex,TE,
Durham Smythe,TE,CHI
Armani Rogers,TE,
Eli Stowers,TE,
Michael Ezeike,TE,
David Wells,TE,
Drake Dabney,TE,
Zach Miller,TE,
Mitchell Wilcox,TE,
Anthony Landphere,TE,
Hayden Rucci,TE,MIA
La'Michael Pettway,TE,
Devin Mahina,TE,
Tony Poljan,TE,
Gavin Escobar,TE,
Beau Gardner,TE,
Matt Spaeth,TE,
Mandel Dixon,TE,
Hale Hentges,TE,
Chris Myarick,TE,
Jacob Maxwell,TE,
Kylen Granson,TE,PHI
David Martin-Robinson,TE,TEN
Joshua Perkins,TE,NYJ
Christian Trahan,TE,
Will Dissly,TE,LAC
John Peters,TE,
Jimmay Mundine,TE,
Greg Dulcich,TE,MIA
Sam Cotton,TE,
Sage Surratt,TE,
Harold Fannin,TE,CLE
Josiah Deguara,TE,ARI
Briley Moore,TE,
Kehinde Oginni,TE,
Jonnu Smith,TE,PIT
Lucas Krull,TE,DEN
Drew Ogletree,TE,IND
Brandon Myers,TE,
Carter Runyon,TE,LV
MyCole Pruitt,TE,
Charles Jones,TE,
Brandon Williams,TE,
Cooper Helfet,TE,
Jody Fortson,TE,
Jason Croom,TE,
DeSean Smith,TE,
Chris Gragg,TE,
Princeton Fant,TE,DAL
Timothy Wright,TE,
Jordan Murray,TE,
Bear Pascoe,TE,
Jake Roh,TE,
Harrison Bryant,TE,HOU
Charlie Kolar,TE,BAL
Joshua Simon,TE,ATL
Dylan Cantrell,TE,
Gerald Everett,TE,
Dre Miller,TE,
Austin Traylor,TE,
Tyler Kroft,TE,
Khari Lee,TE,
Michael Mayer,TE,LV
Michael Egnew,TE,
Luke Benson,TE,
Anthony Firkser,TE,
Dallas Clark,TE,
Orson Charles,TE,
Mychal Rivera,TE,
James O'Shaughnessy,TE,
Rob Housler,TE,
Kent Taylor,TE,
Paul Butler,TE,
Shane Zylstra,TE,DET
Jacob Breeland,TE,
Tip Reiman,TE,ARI
Brian Parker,TE,
DeShon Williams,TE,
Joel Honigford,TE,
Colin Granger,TE,
Luke Schoonmaker,TE,DAL
Garrett Celek,TE,
Devon Garrison,TE,
Ryan Griffin,TE,
Dustin Keller,TE,
Elijah Higgins,TE,ARI
Erik Swoope,TE,
Player Invalid,TE,
Lincoln Sefcik,TE,
Jared Pinkney,TE,
Joel Wilson,TE,TEN
Chase Harrell,TE,
Ben Braunecker,TE,
Eric Frohnapfel,TE,
Nate Adkins,TE,DEN
Josh Pederson,TE,
Pat Conroy,TE,
Travis Kelce,TE,KC
JJ Galbreath,TE,
Alex Larson,TE,
Crockett Gillmore,TE,
Cole Turner,TE,
Jibri Blount,TE,
Michael Williams,TE,
Cameron Brate,TE,
Ed Dickson,TE,
Adam Zaruba,TE,
Jace Amaro,TE,
Darren Waller,TE,MIA
Blake Bell,TE,
Jack Westover,TE,NE
Mike Estes,TE,
Stephen Carlson,TE,CHI
Chig Okonkwo,TE,TEN
Zach Davidson,TE,
Rivaldo Fairweather,TE,DAL
Wyatt Houston,TE,CAR
Greg Scruggs,TE,
Mitchell Henry,TE,
Gary Barnidge,TE,
Clay Burton,TE,
Noah Togiai,TE,
Neal Johnson,TE,
Logan Stokes,TE,
Sam Pitz,TE,
Aaron Peck,TE,
Artayvious Lynn,TE,
Johnny Mundt,TE,JAX
David Johnson,TE,
Geoff Swaim,TE,
Irv Smith,TE,HOU
Dalton Keene,TE,
Brock Bowers,TE,LV
Gunnar Oakes,TE,
John Carlson,TE,
Christian Scotland-Williamson,TE,
C.J. Uzomah,TE,
Dalton Schultz,TE,HOU
Player Invalid,TE,
Trevon Wesco,TE,
Jackson Hawes,TE,BUF
John Samuel Shenker,TE,
Tyler Davis,TE,
Troy Mangen,TE,
David Njoku,TE,CLE
Darion Griswold,TE,
Daniel Fells,TE,
Dominique Dafney,TE,
Tanner Hudson,TE,CIN
Cory Harkey,TE,
Baylor Cupp,TE,
Logan Paulsen,TE,
Pro Wells,TE,
Patrick Murtagh,TE,DEN
Juwan Johnson,TE,NO
Tucker Fisk,TE,LAC
Heath Miller,TE,
Nick DeLuca,TE,
Aaron Hernandez,TE,
Kivon Cartwright,TE,
Antonio Gates,TE,
Ray Hamilton,TE,
John Bates,TE,WAS
Konrad Reuland,TE,
Jace Sternberger,TE,
Brandon Bostick,TE,
Nick Guggemos,TE,
Colin Thompson,TE,
Player Invalid,TE,
Anthony Torres,TE,
Cole Fotheringham,TE,
Marcel Jensen,TE,
Dan Arnold,TE,
Tanner Taula,TE,TB
Devin Culp,TE,TB
Rodney Williams,TE,
Evan Rodriguez,TE,
Cade Stover,TE,HOU
Ryan Malleck,TE,
Anthony Ezeakunne,TE,
Colby Parkinson,TE,LAR
Matt Sokol,TE,PIT
Nick Kasa,TE,
Logan Thomas,TE,
Alec Bloom,TE,
Benjamin Watson,TE,
Niles Paul,TE,
